Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
Mathews Luķķas Phellype,lukkas_phellype,,2022-12-22 07:47:26 EST,2022-12-22,07:47:26,Album,36,7,29,0,False,https://www.instagram.com/p/CmeINsBOJCc/,https://www.instagram.com/p/CmeINsBOJCc/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321326055_1745749629141696_5958083762464141728_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=1fR0jcs8yv4AX_P-pRP&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCijLQYxVlZNV8HeWvN9IuUdnLKEVx4_fbl0vqTG6sEMg&oe=6495C042,,""" Mamãe Querida, meu coração ♥ por ti bate, como Vento suave toda Tarde...🍃 ""

Parabéns pelo seu Dia tão especial, comemorado na data de hoje e com a certeza de que cada um de seus filhos e netos estão ao seu lado te amando muito como você nos amou.

E ainda muito pouco compardo ao mar de carinho que você merece, Jesus Cristo tem somente coisas boas para você; 

E assim eu Determino como o Nosso Senhor Prometeu, que as janelas do céu se abrem sobre sua vida e derrame chuvas e mais chuvas sobre sua vida!

💕Te Amo Mamãe'💕
💕Pra Sempre Te Amarei 💕

🎉Feliz Aniversário🎉

#aniversario #parabens #mae #mãe 
#dezembro #felizaniversario #22 #orgulho #2022",,,,-2.11,"""Dear mommy, my heart ♥ for you hits, like a soft wind every afternoon ... 🍃""

Congratulations on your special day, celebrated today and with the certainty that each of your children and grandchildren are by your side loving you a lot as you loved us.

And still very little compared to the sea of affection you deserve, Jesus Christ has only good things for you;

And so I determine how our Lord promised, that the windows of heaven open upon your life and pour rain and more rain over your life!

💕I love Mom'💕
💕For I will always love you 💕

🎉Folio birthday🎉

#Aniversary #Parabens #mae #Mother
#Densembro #felizaniversary #22 #orgulo #2022",0.9968,Nan,0.0
André da Maria Gorda,andremariagorda,364509.0,2022-12-22 07:22:43 EST,2022-12-22,07:22:43,Photo,149,143,6,0,False,https://www.instagram.com/p/CmeFYqXL6j9/,https://www.instagram.com/p/CmeFYqXL6j9/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320951758_2252259064982492_4542951004940920497_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=srk71jMy3UsAX8-wiFv&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDcy_NStgy-aTt9iuCgciDdTNN9JRElruBPkfGrFAmKBg&oe=64974FFA,,"Feliz quinta feira pra todos amigos e clientes da @feijoadadamariagorda 

#vemsimbora",,,,2.37,"Happy Thursday to all friends and customers of @feijoadamariagorda

#VemSimbora",0.7783,Nan,0.0
Sergio Brucutu,sergio_brucutu,,2022-12-22 04:18:57 EST,2022-12-22,04:18:57,Photo,50,39,11,0,False,https://www.instagram.com/p/CmdwWozohhe/,https://www.instagram.com/p/CmdwWozohhe/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320990312_1096315161013969_7382351783037055064_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8F3Iu1dKGt4AX-xD8E7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB1KoMuc-Y6aQ_RaJmX8Oy-rTUaDXpCMatB2k9-AgBaqA&oe=6495BAA5,,"Ao final deste dia acontecerão eventos no Brasil que estão além de nossa capacidade em atuar.
.
O que controlarei ao final deste dia são os meus afetos sobre o que se desencadeará. Eventos externos que estão fora do meu controle e do seu controle trarão muitos destes afetos à tona. É isso o que devemos controlar. 
Precisaremos disso! Todos nós!
.
.
Desejo um dia de paz, de reflexões e de muita serenidade.
.
.
Dr. Sérgio Lima
Psicólogo 
CRP 01/8125
.
.
#simplesmente #brazilwasstolen🇧🇷🇧🇷 #autoconhecimento #expansãodaconsciência #atendimentopsicologico #atendonline #drsergio_psicologo",,,,-1.4,"At the end of this day there will be events in Brazil that are beyond our ability to act.
.
What I will control at the end of this day are my affections about what will be triggered.External events that are out of my control and your control will bring many of these affections to the surface.This is what we should control.
We will need this!All of us!
.
.
I wish a day of peace, reflections and much serenity.
.
.
Dr.Sérgio Lima
Psychologist
CRP 01/8125
.
.
#Simply #BrazilwaSstolen🇧🇷🇧🇷 #AutoConing #ExpansionSCience #AstensionSpicologic #atendonline #drsergio_Psicologo",0.9199,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2022-12-21 15:03:34 EST,2022-12-21,15:03:34,Photo,860,713,147,0,False,https://www.instagram.com/p/CmcVVI_pVy9/,https://www.instagram.com/p/CmcVVI_pVy9/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321050321_542209381168051_6861875316361928083_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=c0DUK8v_TMIAX_0OD6n&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDvL6g0owbIsHgdMDWgL0yfh_NX_WsuuQtWe_f6rhv5zQ&oe=6497427D,,"URGENTE!
.
.
.
.
.
.
.
.
.
.
.

.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes",NOTÍCIAS URGENTE: Delegado do caso da facada de Bolsonaro terá cargo chave na PF de Lula h HORA BRASILIA Publicado 7 segundos atrás em 21/12/2022 Por Redação,,,0.0,"URGENT!
.
.
.
.
.
.
.
.
.
.
.

.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges",0.4263,Urgent News: Delegate of the case of Bolsonaro stab will have a key position in the PF of Lula H Hora Brasilia published 7 seconds ago on 12/21/2022 by writing,-0.4588
SARGENTO RODRIGUES,sargentorodriguesoficial,22662.0,2022-12-21 14:11:58 EST,2022-12-21,14:11:58,Album,789,766,23,0,False,https://www.instagram.com/p/CmcPbJBP9kE/,https://www.instagram.com/p/CmcPbJBP9kE/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321009436_1179477679605906_6833576563442574624_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zuefAej6kdsAX_T0mK-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBi8GRXEWLeNaQngOePKeVDzFJKGkGIfH5CRW8-yo_07g&oe=63E39AF0,,"Parabenizo todos e todas policiais civis que concluíram o Curso de Formação Técnico-Profissional-2022 das carreiras de DELEGADO, INVESTIGADOR, ESCRIVÃO, MÉDICO LEGISTA, PERITO CRIMINAL, ANALISTA E TÉCNICO ADMINISTRATIVO na data de hoje (21/12). Peço a Deus que abençoe todos os formandos e suas famílias. Parabéns!",,,,1.33,"I congratulate all and all civil police officers who have completed the technical-professional training course-2022 of the careers of delegate, investigator, clerk, coroner, criminal expert, analyst and administrative technician today (21/12).I ask God to bless all graduates and their families.Congratulations!",0.6114,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2022-12-21 13:14:28 EST,2022-12-21,13:14:28,Photo,79,77,2,0,False,https://www.instagram.com/p/CmcI2DtpG6C/,https://www.instagram.com/p/CmcI2DtpG6C/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320768916_1558529841334508_8893573279906593772_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=dM4aunpILoIAX-x_jbV&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCBgVHwfpeknGWVcbjkXdTygIS5ehO2ZBfTWebMIm6PDA&oe=63CD017C,,"COBRE SEU DEPUTADO!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes",1min José Vasconcelos Viana @va... Os deputados aumentaram seus próprios salários e votaram a favor da PEC do estouro. Estão cuspindo na cara da população! #LulaLadraoNaoSobeARampa #VERGONHA ×,,,0.0,"Cover your deputy!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges",0.0,1min José Vasconcelos Viana @va ... the deputies increased their own salaries and voted in favor of the PEC of the burst.They are spitting in the face of the population!#Lulandaonaosobeampa #vergonha ×,0.6239
SARGENTO RODRIGUES,sargentorodriguesoficial,22662.0,2022-12-21 10:32:02 EST,2022-12-21,10:32:02,Album,659,644,15,0,False,https://www.instagram.com/p/Cmb2QZXLG_3/,https://www.instagram.com/p/Cmb2QZXLG_3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321042429_159952643434282_1423632135253815149_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lkZPxhj7B0IAX-Q2g_1&_nc_oc=AQliK1FRQ-uXi4wsLJ7OdyatHjWcgUqscm9v7kFz5ihtWAuEV_y2DK4CDF3N2EZkzjs&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBJwvMgC2rEz-gM1fKxmC54byPkmn9thRjehg2ieszoCw&oe=63E13F9B,,"Nesta manhã, visitei o 1 BPM, onde fui recebido pelo Comandante, Ten Cel Alexandre Oliveira, pelo Subcomandante, Major Lima e pelo Tenente Hamilton. 
Na ocasião, entreguei, em mãos, ofício comunicando a destinação de 80 mil reais, por meio de emenda parlamentar, para a compra dos aparelhos da academia de musculação da unidade, que já está em andamento.  @primeiro.batalhao",,,,1.11,"This morning I visited the 1 BPM, where I was received by the commander, Ten Cel Alexandre Oliveira, the deputy commander, Major Lima and Lieutenant Hamilton.
At the time, I delivered, in hand, a letter communicating the allocation of 80 thousand reais, through parliamentary amendment, to buy the unit's bodybuilding academy, which is already underway.@first.batalhao",0.4939,Nan,0.0
Gilson da Autoescola,gilsondaautoescola,,2022-12-21 07:53:46 EST,2022-12-21,07:53:46,Photo,66,38,28,0,False,https://www.instagram.com/p/CmbkJOTroU-/,https://www.instagram.com/p/CmbkJOTroU-/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321180480_5847345315329296_2468695793932332870_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GnXu7aKbZsAAX_FwcP7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDDiNQ2bum9TUsszgYxdcJTg8IU-USLRaMAxqNL6Ozq9A&oe=649508BE,,"ALERTA VIA CELULAR

""População pode se cadastrar no Sistema de Alerta de Desastres da Defesa Civil e se proteger ""

O Sistema de Alerta SMS 40199, com foco no município, é uma iniciativa inédita e vai enviar alertas focados em bairros e regiões. 

Para receber os avisos, os interessados devem enviar uma mensagem de texto (SMS) gratuita, informando o CEP, sem o hífen, para o número 40199 e aguardar a confirmação. 

.

.

.

#defesacivil #chuvas #prevenção #orientação #enchentes #areaderisco 
#199 #prefeituramunicipaldebetim 
#vereadoratuante #vereadorGilsondaAutoEscola",,,,1.18,"Alert via cellular

""Population can register in the Civil Defense disaster warning system and protect themselves""

The SMS 40199 warning system, focusing on the municipality, is an unprecedented initiative and will send focused alerts in neighborhoods and regions.

To receive the warnings, interested parties must send a free text message (SMS), informing the zip code without the hyphen to number 40199 and wait for confirmation.

.

.

.

#defesacivil #chuvas #prevention #orientation #tenses #areaderisco
#199 #Derement Municipality
#vereidoradant #vereadorgilSondaAutoescola",0.5994,Nan,0.0
Josafá Ramos,josafarramos,,2022-12-21 00:08:11 EST,2022-12-21,00:08:11,Album,45,42,3,543,False,https://www.instagram.com/p/Cmau3LcuDZD/,https://www.instagram.com/p/Cmau3LcuDZD/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321309812_696044725474472_4512922935171767515_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=2uAf5FyNmsMAX-BZTJh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDw3MRkQqZ4CqoIJy9P40wmRtH0R4PkUEwQHMoo8MuJBw&oe=63FDC852,,Tem um equívoco no 1º vídeo…,,,,-2.4,There is a mistake in the 1st video…,-0.34,Nan,0.0
Mathews Luķķas Phellype,lukkas_phellype,,2022-12-20 20:40:06 EST,2022-12-20,20:40:06,Album,45,15,30,0,False,https://www.instagram.com/p/CmaXDIus9Z5/,https://www.instagram.com/p/CmaXDIus9Z5/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321193129_544418670894819_4003479912111550715_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xrhLkX3HWQgAX94Mq2z&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDGmBIvU9YU3lVhuTKsqGMda0C4pEmKlIjOhP8iv47Pzg&oe=6495E636,,"Meu coração só pulsa por você, 

Ao te encontrar descobriu-se o Grande Amor,🎶

O seu olhar levou toda minha dor,

Você me aceitou como eu sou! 🎶

#amor #sem #igual #amorsemigual
#pajuçara #alagoas #maceio #Brasil #farolpontaverde #farolmaceio #farol #worldcup #catart #aniversário #dezembro #natal2022 #feliz #natal #anonovo #2023",,,,-1.69,"My heart only pulsates for you,

When you meet you the great love was discovered, 🎶

Your gaze took all my pain,

You accepted me as I am!🎶

#amor #Im #Iqual #AmorSemical
#Pajuçara #Alagoas #Mace #Brasil #FarolPontaverde #Farolmaceio #Farol #WorlDCUP #Catart #Birthday #Dension #Natal2022 #Feliz #Natal #anonovo #2023",0.9485,Nan,0.0
Josafá Ramos,josafarramos,,2022-12-20 19:36:57 EST,2022-12-20,19:36:57,Album,42,37,5,372,False,https://www.instagram.com/p/CmaP0i6uFYD/,https://www.instagram.com/p/CmaP0i6uFYD/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320917161_217458217384516_792701079918184519_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ycDYzESZTQoAX_2Axou&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDfVRYNYgKMY5CQJhAa-IMMvPYe0TE3sWHXT6QgN1NAGQ&oe=63F76EED,,"Acampamento do QGEx…
Hoje teve até farsante, travestido de militar e dizendo que teria ordem do Comando para “desacampar” todo mundo.
É msg mentirosa que se resume no crime de falsidade ideológica.
O ACAMPAMENTO CONTINUA FORTE NO ‘SOS FORÇAS ARMADAS’!
#Feiradesantana #bahia #moda #fsa #modafeminina #brasil #photooftheday #atacado #amor #top #love #instagood #fitness #varejo #lookdodia #photography #luxo #bomdia #fashion #academia #salvador #doces #modinha #like4likes #jeans #suplex #shortjeans @bolsonarosp @flaviobolsonaro @carlosbolsonaro @bolsonarotrazaoo @michellebolsonaro @bolsonaroem22 @bolsonaroem22  @jairmessiasbolsonaro aq @renatasmassa @luissilva12144 @josafarramos @flavio_reis_2021 #guerreiros @guerreiros.operacionais",,,,-2.57,"Qgex camp…
Today he even had a fake, a military man, and saying he would have command of command to ""disacly"" everyone.
It is msg liar that comes down to the crime of ideological falsehood.
The camp is still strong in 'SOS armed forces'!
#FaterAdesAntana #Bahia #Moda #Fsa #ModaFeMinina #Brasil #PhotoFtheday #Atored #top #love #instagood #fitness #lookdodia #photograph #lux #Bomdia #Fashion #Academy #DoCes #Modinha #Likes #Jeans#suplex #shortjeans @bolsonararosp @flaviobolsonaro @carlosbolsonaro @bolSarotrazooo @michellebolsonaro @bolsonaroem22 @bolsonaroem22 @jairmessiasbolsonaro aq @renatasmassa @luissilva12144 @josafaram @flavio_reis_2021 warriors.Ooperative",0.5562,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2022-12-20 19:03:39 EST,2022-12-20,19:03:39,Photo,69,64,5,0,False,https://www.instagram.com/p/CmaMAunMR_m/,https://www.instagram.com/p/CmaMAunMR_m/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321162866_1360294398131190_8547973703036861620_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=UZzs3D62L8sAX8z0MgA&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCdIlRD1Pv0Cr8oow6KPYSmD9DHpvfYA_oxcObKCJTFkw&oe=63CBBEB3,,"A VELHA POLÍTICA VOLTOU!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes","José Vasconcelos Viana @va... 1min Lula terá 37 ministérios. Vai começar a farra dos cargos para amigos e, consequentemente, a corrupção institucionalizada. Que Deus tenha piedade do Brasil. #BolsonaroTemRazao #LulaVergonhaNacional",,,-4.49,"The old politics came back!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges",0.0,"José Vasconcelos Viana @va ... 1min Lula will have 37 ministries.It will begin the spree of positions to friends and, consequently, institutionalized corruption.May God have mercy from Brazil.#BolSanarTeMrazao #Lulavergonhanational",0.7717
Alan Diego Rodrigues,alandiego.rodrigues.3720,,2022-12-20 16:00:35 EST,2022-12-20,16:00:35,Video,162,10,152,2323,False,https://www.instagram.com/tv/CmZ3CkhoCft/,https://www.instagram.com/tv/CmZ3CkhoCft/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320885740_1023272719063426_4576228622149715792_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=25_rsOk3k1IAX90v7w4&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB5qgkEpF9fV-qSXVOXl5-hptVu65d6GGqRBr-PmRNu_Q&oe=6495F0D6,,Palácio da Alvorada,,,,9.53,Alvorada Palace,0.0,Nan,0.0
João Salas,oficialjoaosalas,,2022-12-20 15:28:12 EST,2022-12-20,15:28:12,Photo,144,91,53,0,False,https://www.instagram.com/p/CmZzWp_vWls/,https://www.instagram.com/p/CmZzWp_vWls/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320130924_189648563734403_1490603512726657924_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ViGwvrhnpvoAX9gRa1e&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCreHgvAqpNtOnyyBJIk5tycd3awarIeLXRGBRPDVE8Xg&oe=6406447B,,"Censurado. Tempos difíceis, fazem homens fortes… Orem por mim! 
Contribua com pix: (61) 98174-1689 (CELULAR)",,,,-13.92,"Censored.Hard times make strong men… Pray for me!
Contribute to Pix: (61) 98174-1689 (mobile)",0.7088,Nan,0.0
SARGENTO RODRIGUES,sargentorodriguesoficial,22596.0,2022-12-20 13:12:16 EST,2022-12-20,13:12:16,Album,333,329,4,0,False,https://www.instagram.com/p/CmZjzCmry6P/,https://www.instagram.com/p/CmZjzCmry6P/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320569281_558435042425891_4013633188174791127_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=KBNdDI_ftRkAX-PZXIo&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAXgks7xhWbg4NB0dIb7kyKzVIBSjhnqPN5HOba28-MqA&oe=63E08025,,"A Comissão de Segurança Pública fez hoje uma reunião especial para entregar ao deputado João Leite um diploma de voto de congratulações. Membro da comissão há muitos anos, o deputado está se despedindo da Assembleia Legislativa, após sete mandatos consecutivos. O requerimento da homenagem foi uma iniciativa conjunta dos demais membros, como forma de agradecimento e reconhecimento por seu trabalho.

O deputado Sargento Rodrigues, presidente da comissão, se emocionou ao abrir a reunião, falando do orgulho que sente de tantos trabalhos realizados ao lado do companheiro e amigo, com quem aprendeu muito. “Fui seu recruta nesta casa! Confesso que não gostaria de fazer essa entrega hoje, pois preferia que continuasse conosco no próximo mandato, mas sabemos que tudo tem seu tempo e que quem decide, quem nos guia e aponta a direção a seguir, é Deus, e Ele sempre sabe o que é melhor para nós. Tenho certeza que Ele tem planos diferentes para você. Só posso agradecer pelas oportunidades que tivemos juntos e desejar muitas bençãos em sua nova jornada, ao lado daqueles que te amam! Receba meu forte abraço”! @joaoleitebh",,,,-1.79,"The Public Security Commission today held a special meeting to deliver to Deputy João Leite a congratulation voting diploma.Member of the commission for many years, the deputy has been saying goodbye to the Legislative Assembly after seven consecutive terms.The tribute request was a joint initiative of the other members, as a form of thanks and recognition for their work.

Deputy Sargento Rodrigues, chairman of the commission, was thrilled to open the meeting, talking about the pride he feels of so many work done next to his partner and friend, with whom he learned a lot.“I was your recruit in this house!I confess that I would not like to make this delivery today, because I preferred that I continued with us in the next term, but we know that everything has its time and that who decides, who guides us and points the direction to follow, is God, and he always knows whatIt is better for us.I'm sure it has different plans for you.I can only thank you for the opportunities we had together and want many blessings on your new journey, alongside those who love you!Receive my big hug ”!@joaoleitebh",0.9913,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2022-12-20 12:36:34 EST,2022-12-20,12:36:34,Photo,106,87,19,0,False,https://www.instagram.com/p/CmZftpBOjPc/,https://www.instagram.com/p/CmZftpBOjPc/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320603035_883508942784621_7802234153414826332_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8yW2lSriUpgAX8pAbdl&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCcjAsq9RXrS6yKkBpaUErKrj94DDLXxQYoxTjyxfsviA&oe=63CAF4FD,,"HADDAD SERÁ UM DESASTRE!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes",NOTICIAS >> POLITICA 1 MIN DE LEITURA HADDAD E oS TEMORES DO MERCADO Incertezas têm sido a marca do do mercado desde a escolha do ex-prefeito de São Paulo JVV TÍC IAS S JVVNEWS REDAÇÃO 20/12/2022 07:54,,,-2.92,"Haddad will be a disaster!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges",-0.6588,Noticias >> Politics 1 min of Haddad Reading and the fears of the uncertainty market have been the mark of the market since the choice of former São Paulo JVV mayor Ias S JVVNews Writing 20/12/2022 07:54,-0.6369
Mathews Luķķas Phellype,lukkas_phellype,,2022-12-20 08:33:45 EST,2022-12-20,08:33:45,Photo,30,11,19,0,False,https://www.instagram.com/p/CmZD7MYu7wc/,https://www.instagram.com/p/CmZD7MYu7wc/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321083558_113736701459021_3321202452101048820_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vKE221z_WOkAX8A_ECZ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDtWDLAqJiLVJcqmS4OJCLFCmnzjW6h-RmFNQ29qFf5jQ&oe=6496CB65,,"Talvez eu chego em marte'
Sonhando em pisar na Lua'

Não importa os anéis de júpiter'
Se a Aliança é toda sua'
.
.
.
#terçafeira #dezembro #2022 #BomDiaBrasil",,,,-1.27,"Maybe I arrive at Mars'
Dreaming of stepping on the moon '

No matter the rings of Jupiter '
If the covenant is all yours'
.
.
.
#Tuesday #Densembro #2022 #Bomdiabrasil",-0.0191,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2022-12-20 05:41:37 EST,2022-12-20,05:41:37,Photo,82,68,14,0,False,https://www.instagram.com/p/CmYwOb2MMn3/,https://www.instagram.com/p/CmYwOb2MMn3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320715169_1204314290434458_5012505407228149409_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=FOaLT1CSAOsAX_VQ2qg&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB6-LS-x0W4qb1ZhBPis2jHZmMSKKrxQbBcPXz5riqkAA&oe=63C01930,,"De um lado há um forte cotado para a primeira vaga, o ministro do TSE e do STJ Benedito Gonçalves. Recentemente chamou a atenção quando foi cumprimentado por Lula, recebendo em troca tapinhas no rosto. Também chamou a atenção ao se dirigir ao ministro Alexandre de Moraes, e sem perceber que o microfone estava aberto, disse que “missão dada é missão cumprida”.

.
.
.
.
.
.
.
.
.
.
.

.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes","NOTÍCIAS >> POLÍTICA 1 MIN DE LEITURA DISPUTA PELO PODER Caso realmente se confirme a posse de Luiz Inácio Lula da Silva como presidente, uma briga interessante irá se desenrolar pelas duas vagas que se abrirão no STF. JVV JVVNEWS REDAÇÃO 19/12/2022 18:39",,,-3.76,"On one side there is a strong quoted for the first place, the TSE and STJ Benedito Gonçalves Minister.Recently drew attention when he was greeted by Lula, receiving in return pats on his face.He also drew attention by addressing Minister Alexandre de Moraes, and without realizing that the microphone was open, said that ""mission given is mission accomplished.""

.
.
.
.
.
.
.
.
.
.
.

.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges",0.8074,"News >> Politics 1 min of reading disputes for power if the possession of Luiz Inácio Lula da Silva as president is really confirmed, an interesting fight will unfold for the two vacancies that will open in the STF.JVV JVVNews Writing 19/12/2022 18:39",-0.1868
